,title,link
2,남양주시 청년 드론분야 취업 교육 과정 참여자 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4416&pager.offset=128&pagerLimit=8
3,「제2기 남양주시 사회적경제 청년 서포터즈」모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4415&pager.offset=128&pagerLimit=8
4,"2024년 구리시 청년 소상공인 ""희망키움 특례보증·이자지원"" 계획 공고 ",https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4414&pager.offset=128&pagerLimit=8
5,[자동화시스템/PLC] 로봇시스템개발자 교육 참여자 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4413&pager.offset=128&pagerLimit=8
6,경기도 SoC 반도체 회로설계 아카데미 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4412&pager.offset=128&pagerLimit=8
7,제5기 청년정책협의체 모집공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4411&pager.offset=128&pagerLimit=8
0,2024년 신혼부부 및 청년 전월세 대출이자 지원사업 공고(4차) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4410&pager.offset=136&pagerLimit=8
1,2024년 청(소)년 정신건강 외래치료비 지원 안내(청년마인드케어) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4409&pager.offset=136&pagerLimit=8
2,♥ 청년 정서지원 프로그램 '청년메이트' 모집 (~4/16) ♥ ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4408&pager.offset=136&pagerLimit=8
3,「2024년도 안양시지속가능발전협의회 청년 위원 선발」 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4407&pager.offset=136&pagerLimit=8
4,2024년 청년 맞춤형 직업교육 「경리사무원 양성과정」 참여자 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4406&pager.offset=136&pagerLimit=8
5,‘2024년 청년창업 지원사업’예비창업자 모집공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4405&pager.offset=136&pagerLimit=8
6,수원시 청년 환경교육 서포터즈 '그린크루 2기' 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4404&pager.offset=136&pagerLimit=8
